"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row289"	"O95716;P20336;P20337;P20338;P61006;P61018;P61026;P61106;P62820;Q15286;Q15771;Q6IQ22;Q86YS6;Q92930;Q96DA2;Q9H0U4"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row290"	"O95716;P62834"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row291"	"O95749"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row292"	"O95757;P34932;Q92598"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row293"	"O95758;P26599"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row294"	"O95782"	"Homo sapiens (Human)"	32	1	1	1	1	1	1
"Row295"	"O95793"	"Homo sapiens (Human)"	15	1	1	1	1	1	1
"Row296"	"O95807"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row297"	"O95819"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row298"	"O95825"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row299"	"O95861"	"Homo sapiens (Human)"	15	1	1	1	1	1	1
